File Name,Date,method,Notes
HeLa_180321_r5,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r6,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r7,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r8,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r9,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180321_r10,180321,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180322_r1,180322,43iv_abrf-like_Top20_CID-HCD,after 2-Propanol wash
HeLa_180322_r2,180322,43iv_abrf-like_Top20_CID-HCD,after 2-Propanol wash
HeLa_180322_r3,180322,43iv_abrf-like_Top20_CID-HCD,after 2-Propanol wash
HeLa_180322_r4,180322,43iv_abrf-like_Top20_CID-HCD,after 2-Propanol wash
HeLa_180322_r5,180322,43iv_abrf-like_Top20_CID-HCD,after 2-Propanol wash
HeLa_180322_r6,180322,43iv_abrf-like_Top20_CID-HCD,after 2-Propanol wash
HeLa_180322_r7,180322,43iv_abrf-like_Top20_CID-HCD,after 2-Propanol wash
HeLa_180323_r1,180323,43iv_abrf-like_Top20_CID-HCD,union reffited
HeLa_180323_r2,180323,43iv_abrf-like_Top20_CID-HCD,union reffited
HeLa_180323_r3,180323,43iv_abrf-like_Top20_CID-HCD,after bad QIB
HeLa_180327_r1,180327,43iv_abrf-like_Top20_CID-HCD,…
HeLa_180327_r2,180327,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180329_r1,180329,43iv_abrf-like_Top20_CID-HCD,…
HeLa_180331_r1,180331,43iv_abrf-like_Top20_CID-HCD,…
HeLa_180403_r1,180403,43iv_abrf-like_Top20_CID-HCD,…
HeLa_180403_r2,180403,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180403_r3,180403,43iv_abrf-like_Top20_CID-HCD,...
HeLa_180409_r1,180409,43iv_abrf-like_Top20_CID-HCD,calibration - all
HeLa_180409_r2,180409,43iv_abrf-like_Top20_CID-HCD,calibration - all
HeLa_180409_r3,180409,43iv_abrf-like_Top20_CID-HCD,calibration - all
HeLa_180409_r1-mastercal_restored,180409,43iv_abrf-like_Top20_CID-HCD,"master cal restored from January back up, not calibrated yet."
HeLa_180409_r2-recalibrated,180409,43iv_abrf-like_Top20_CID-HCD,"master cal restored from January back up, not calibrated yet."
HeLa_180409_r3,180409,43iv_abrf-like_Top20_CID-HCD,"master cal restored from January back up, not calibrated yet."
